timestamp,device_name,src_ip,dst_ip,src_port,dst_port,protocol,transport_class,hostname,url,http_method,payload_preview,tls_present,tls_version,packet_length,packet_count,byte_count,direction,scenario_label
2026-04-14T06:00:00,cam_livingroom,192.168.10.20,198.51.100.20,38967,443,HTTPS,TCP,api.vendorvideo.example,https://api.vendorvideo.example/v1/heartbeat,POST,status=ok;fps=15;motion=false;fw=1.4.2,True,TLS1.3,454,8,3632,outbound,baseline_secure_heartbeat
2026-04-14T06:01:00,plug_kitchen,192.168.10.35,198.51.100.60,50296,8883,MQTT,TCP,broker.iotcontrol.example,,,topic=device/status;power=on;watts=13.2,True,TLS1.3,257,6,1542,outbound,baseline_secure_mqtt_control
2026-04-14T06:05:00,cam_livingroom,192.168.10.20,192.168.10.1,52115,53,DNS,UDP,resolver.home.arpa,,,query=api.vendorvideo.example,False,,93,1,93,outbound,baseline_name_resolution
2026-04-14T06:07:00,cam_livingroom,192.168.10.20,198.51.100.5,57154,123,NTP,UDP,time.vendorvideo.example,,,clock_sync,False,,92,1,92,outbound,baseline_time_sync
2026-04-14T06:10:00,cam_livingroom,192.168.10.20,198.51.100.24,47100,443,HTTPS,TCP,stream.vendorvideo.example,https://stream.vendorvideo.example/v2/session,POST,stream=adaptive;codec=h264;event=healthcheck,True,TLS1.3,626,12,7512,outbound,baseline_media_control
2026-04-14T06:13:00,plug_kitchen,192.168.10.35,198.51.100.61,35150,443,HTTPS,TCP,api.iotcontrol.example,https://api.iotcontrol.example/v1/device/sync,POST,scene=daytime;fw=2.0.1;relay_state=on,True,TLS1.2,332,8,2656,outbound,baseline_secure_api_sync
2026-04-14T06:16:00,plug_kitchen,192.168.10.35,203.0.113.80,55024,8080,HTTP,TCP,telemetry.ads-insight.example,http://telemetry.ads-insight.example/beacon,POST,watts=13.4;state=standby;beacon=1,False,,214,4,856,outbound,controlled_background_third_party_beacon
2026-04-14T06:16:00,hub_gateway,192.168.10.10,192.168.10.1,37834,53,DNS,UDP,resolver.home.arpa,,,query=controller.smarthub.example,False,,93,1,93,outbound,baseline_name_resolution
2026-04-14T06:20:00,plug_kitchen,192.168.10.35,192.168.10.1,37564,53,DNS,UDP,resolver.home.arpa,,,query=broker.iotcontrol.example,False,,90,1,90,outbound,baseline_name_resolution
2026-04-14T06:24:00,hub_gateway,192.168.10.10,198.51.100.90,48022,443,HTTPS,TCP,controller.smarthub.example,https://controller.smarthub.example/v1/poll,POST,devices=3;mode=auto;scene=occupied,True,TLS1.3,357,7,2499,outbound,baseline_secure_controller_poll
2026-04-14T06:31:00,plug_kitchen,192.168.10.35,198.51.100.60,33514,8883,MQTT,TCP,broker.iotcontrol.example,,,topic=device/status;power=on;watts=13.2,True,TLS1.3,307,7,2149,outbound,baseline_secure_mqtt_control
2026-04-14T06:39:00,hub_gateway,192.168.10.10,198.51.100.91,53180,8883,MQTT,TCP,broker.smarthub.example,,,topic=mesh/status;topology=stable,True,TLS1.2,286,5,1430,outbound,baseline_secure_mesh_broker
2026-04-14T06:42:00,cam_livingroom,192.168.10.20,198.51.100.20,50883,443,HTTPS,TCP,api.vendorvideo.example,https://api.vendorvideo.example/v1/heartbeat,POST,status=ok;fps=15;motion=false;fw=1.4.2,True,TLS1.3,441,10,4410,outbound,baseline_secure_heartbeat
2026-04-14T07:00:00,plug_kitchen,192.168.10.35,198.51.100.60,38311,8883,MQTT,TCP,broker.iotcontrol.example,,,topic=device/status;power=on;watts=13.2,True,TLS1.3,310,6,1860,outbound,baseline_secure_mqtt_control
2026-04-14T07:00:00,plug_kitchen,192.168.10.35,203.0.113.80,49923,8080,HTTP,TCP,telemetry.ads-insight.example,http://telemetry.ads-insight.example/beacon,POST,watts=13.4;state=standby;beacon=1,False,,286,5,1430,outbound,controlled_background_third_party_beacon
2026-04-14T07:21:00,cam_livingroom,192.168.10.20,198.51.100.20,37626,443,HTTPS,TCP,api.vendorvideo.example,https://api.vendorvideo.example/v1/heartbeat,POST,status=ok;fps=15;motion=false;fw=1.4.2,True,TLS1.3,409,11,4499,outbound,baseline_secure_heartbeat
2026-04-14T07:27:00,hub_gateway,192.168.10.10,198.51.100.90,36937,443,HTTPS,TCP,controller.smarthub.example,https://controller.smarthub.example/v1/poll,POST,devices=3;mode=auto;scene=occupied,True,TLS1.3,350,5,1750,outbound,baseline_secure_controller_poll
2026-04-14T07:32:00,cam_livingroom,192.168.10.20,198.51.100.24,52802,443,HTTPS,TCP,stream.vendorvideo.example,https://stream.vendorvideo.example/v2/session,POST,stream=adaptive;codec=h264;event=healthcheck,True,TLS1.3,531,11,5841,outbound,baseline_media_control
2026-04-14T07:32:00,plug_kitchen,192.168.10.35,198.51.100.60,50345,8883,MQTT,TCP,broker.iotcontrol.example,,,topic=device/status;power=on;watts=13.2,True,TLS1.3,233,7,1631,outbound,baseline_secure_mqtt_control
2026-04-14T07:37:00,cam_livingroom,192.168.10.20,192.168.10.1,45033,53,DNS,UDP,resolver.home.arpa,,,query=api.vendorvideo.example,False,,113,1,113,outbound,baseline_name_resolution
2026-04-14T07:46:00,plug_kitchen,192.168.10.35,203.0.113.80,47745,8080,HTTP,TCP,telemetry.ads-insight.example,http://telemetry.ads-insight.example/beacon,POST,watts=13.4;state=standby;beacon=1,False,,219,4,876,outbound,controlled_background_third_party_beacon
2026-04-14T08:00:00,cam_livingroom,192.168.10.20,198.51.100.20,60284,443,HTTPS,TCP,api.vendorvideo.example,https://api.vendorvideo.example/v1/heartbeat,POST,status=ok;fps=15;motion=false;fw=1.4.2,True,TLS1.3,499,6,2994,outbound,baseline_secure_heartbeat
2026-04-14T08:01:00,plug_kitchen,192.168.10.35,198.51.100.60,58284,8883,MQTT,TCP,broker.iotcontrol.example,,,topic=device/status;power=on;watts=13.2,True,TLS1.3,307,4,1228,outbound,baseline_secure_mqtt_control
2026-04-14T08:09:00,hub_gateway,192.168.10.10,198.51.100.91,51300,8883,MQTT,TCP,broker.smarthub.example,,,topic=mesh/status;topology=stable,True,TLS1.2,266,6,1596,outbound,baseline_secure_mesh_broker
2026-04-14T08:26:00,hub_gateway,192.168.10.10,198.51.100.90,39638,443,HTTPS,TCP,controller.smarthub.example,https://controller.smarthub.example/v1/poll,POST,devices=3;mode=auto;scene=occupied,True,TLS1.3,347,7,2429,outbound,baseline_secure_controller_poll
2026-04-14T08:30:00,plug_kitchen,192.168.10.35,198.51.100.60,34954,8883,MQTT,TCP,broker.iotcontrol.example,,,topic=device/status;power=on;watts=13.2,True,TLS1.3,264,5,1320,outbound,baseline_secure_mqtt_control
2026-04-14T08:31:00,plug_kitchen,192.168.10.35,203.0.113.80,52443,8080,HTTP,TCP,telemetry.ads-insight.example,http://telemetry.ads-insight.example/beacon,POST,device_id=PLUG-K-8821&support_phone=+447700900124&state=standby,False,,265,4,1060,outbound,controlled_background_third_party_beacon
2026-04-14T08:40:00,cam_livingroom,192.168.10.20,198.51.100.20,38864,443,HTTPS,TCP,api.vendorvideo.example,https://api.vendorvideo.example/v1/heartbeat,POST,status=ok;fps=15;motion=false;fw=1.4.2,True,TLS1.3,441,10,4410,outbound,baseline_secure_heartbeat
2026-04-14T08:43:00,plug_kitchen,192.168.10.35,198.51.100.61,39684,443,HTTPS,TCP,api.iotcontrol.example,https://api.iotcontrol.example/v1/device/sync,POST,scene=daytime;fw=2.0.1;relay_state=on,True,TLS1.2,263,4,1052,outbound,baseline_secure_api_sync
2026-04-14T08:52:00,cam_livingroom,192.168.10.20,198.51.100.24,35055,443,HTTPS,TCP,stream.vendorvideo.example,https://stream.vendorvideo.example/v2/session,POST,stream=adaptive;codec=h264;event=healthcheck,True,TLS1.3,624,9,5616,outbound,baseline_media_control
2026-04-14T08:58:00,plug_kitchen,192.168.10.35,198.51.100.60,42265,8883,MQTT,TCP,broker.iotcontrol.example,,,topic=device/status;power=on;watts=13.2,True,TLS1.3,285,5,1425,outbound,baseline_secure_mqtt_control
2026-04-14T09:04:00,cam_livingroom,192.168.10.20,192.168.10.1,33559,53,DNS,UDP,resolver.home.arpa,,,query=api.vendorvideo.example,False,,92,1,92,outbound,baseline_name_resolution
2026-04-14T09:15:00,plug_kitchen,192.168.10.35,203.0.113.80,43735,8080,HTTP,TCP,telemetry.ads-insight.example,http://telemetry.ads-insight.example/beacon,POST,watts=13.4;state=standby;beacon=1,False,,214,3,642,outbound,controlled_background_third_party_beacon
2026-04-14T09:18:00,cam_livingroom,192.168.10.20,198.51.100.20,59741,443,HTTPS,TCP,api.vendorvideo.example,https://api.vendorvideo.example/v1/heartbeat,POST,status=ok;fps=15;motion=false;fw=1.4.2,True,TLS1.3,459,11,5049,outbound,baseline_secure_heartbeat
